#x,y,distance_threshold_wp,spin_in_place
3.5,-1.0,0.3,1
0.5,2.5,0.3,1
5.5,-3.9,0.3,1
3.5,-3.9,0.3,1
3.5,-6.2,0.3,1
2.2,-6.2,0.3,1
